UFP rating,Year of Project,Count Approach,Functional Size,Adjusted Function Points,Value Adjustment Factor,Normalised Work Effort Level 1,Normalised Work Effort,Summary Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Pre 2002 PDR (afp),Defect Density,Speed of Delivery,Project Elapsed Time,Effort Unphased,Total Defects Delivered,Development Type,Architecture,Client Server?,Functional Sizing Technique,FP Standards All,Development Platform,Language Type,CASE Tool Used,Used Methodology,How Methodology Acquired,Resource Level,Max Team Size,Input count
UFP_rating_A,1998,Count_Approach_NESMA,237,254,123456789.0,1850,1850,1850,7.8,7.8,7.3,21.1,7.9,6.0,0,5,Development_Type_New Development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_IFPUG,Development_Platform_MR,4GL,No,Used_Methodology_No,How_Methodology_Acquired_Combined Developed/Purchased,1,5.0,60.0
UFP_rating_B,1994,Count_Approach_IFPUG,1502,1587,123456789.0,6020,7490,7490,4.0,5.0,4.7,8.0,53.6,4.0,6020,12,Development_Type_New Development,Architecture_Stand alone,Client_Server_Yes,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_PC,4GL,No,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,4,7.0,774.0
2020,2004,Count_Approach_IFPUG,83,83,123456789.0,855,855,855,10.3,10.3,10.3,24.1,123456789.0,4.5,855,2,Development_Type_New Development,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_Multi,4GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Traditional,1,123456789.0,123456789.0
UFP_rating_A,1998,DANI Prince,243,250,1.03,2924,3249,2924,12.0,13.4,11.7,8.2,3.8,8.0,1242,2,Development_Type_New Development,Architecture_Client server,Client_Server_Yes,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,1,8.0,123456789.0
UFP_rating_A,1994,DANI Prince,55,48,0.87,503,648,648,9.1,11.8,13.5,18.2,2.3,6.0,503,1,Development_Type_New Development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Supported by a tool,FP_Standards_All_IFPUG,Development_Platform_MF,1GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,4,4.0,5.8
UFP_rating_B,2004,DANI Prince,25,25,123456789.0,118,118,118,4.7,4.7,4.7,0.0,123456789.0,1.0,118,0,Development_Type_Enhancement,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_Multi,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Traditional,1,123456789.0,123456789.0
UFP_rating_A,1995,DANI Prince,163,152,0.93,668,668,668,4.1,4.1,4.4,18.4,6.0,9.0,668,3,Development_Type_New Development,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_MF,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,1,3.0,25.0
UFP_rating_B,2004,Count_Approach_IFPUG,166,166,123456789.0,946,946,946,5.7,5.7,5.7,54.2,123456789.0,3.0,946,9,Development_Type_New Development,Architecture_Multi-tier,Client_Server_Yes,Functional_Sizing_Technique_Other,FP_Standards_All_COSMIC,Development_Platform_Multi,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Traditional,1,123456789.0,123456789.0
UFP_rating_A,2002,Count_Approach_IFPUG,647,673,1.04,8459,8459,6006,13.1,13.1,8.9,9.3,3.4,9.0,0,6,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Wholly manual,FP_Standards_All_COSMIC,Development_Platform_MR,3GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Developed Inhouse,1,21.0,123456789.0
UFP_rating_B,2000,Count_Approach_NESMA,127,127,123456789.0,586,916,586,4.6,7.2,4.6,0.0,123456789.0,3.0,586,0,Development_Type_Enhancement,Architecture_Stand alone,Client_Server_No,Functional_Sizing_Technique_Other,FP_Standards_All_IFPUG,Development_Platform_PC,1GL,Yes,Used_Methodology_Yes,How_Methodology_Acquired_Combined Developed/Purchased,1,123456789.0,123456789.0
