Functional Size,Adjusted Function Points,Value Adjustment Factor,Normalised Work Effort Level 1,Normalised Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Speed of Delivery,Project Elapsed Time,Effort Plan,Effort Specify,Effort Design,Effort Build,Effort Test,Effort Implement,Effort Unphased,Development Type,Client Server?,Development Platform,Language Type,CASE Tool Used,How Methodology Acquired,Average Team Size,Defect Density
237,254.0,1.021941545,1850.0,1850,7.8,7.8,7.9,6.0,100.0,400.0,621.5263158,1000.0,200.0,150.0,0.0,1,0,1,2,0,0,5.0,21.1
1502,1587.0,1.021941545,6020.0,7490,4.0,5.0,53.6,4.0,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,6020.0,1,1,3,2,0,1,5.261340206,8.0
83,83.0,1.021941545,855.0,855,10.3,10.3,10.42982107,4.5,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,855.0,1,1,2,2,1,2,5.261340206,24.1
243,250.0,1.03,2924.0,3249,12.0,13.4,3.8,8.0,608.9672897,961.5682819,621.5263158,3261.750943,1682.0,372.0342857,1242.0,1,1,0,1,1,1,3.0,8.2
55,48.0,0.87,503.0,648,9.1,11.8,2.3,6.0,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,503.0,1,0,0,0,1,0,5.261340206,18.2
25,25.0,1.021941545,118.0,118,4.7,4.7,10.42982107,1.0,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,118.0,0,1,2,1,1,2,5.261340206,0.0
163,152.0,0.93,668.0,668,4.1,4.1,6.0,9.0,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,668.0,1,0,0,1,1,1,5.261340206,18.4
166,166.0,1.021941545,946.0,946,5.7,5.7,10.42982107,3.0,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,946.0,1,1,2,1,1,2,5.261340206,54.2
647,673.0,1.04,8459.0,8459,13.1,13.1,3.4,9.0,608.9672897,961.5682819,1312.0,4694.0,1171.996516,372.0342857,0.0,0,0,1,1,1,1,18.0,9.3
127,127.0,1.021941545,586.0,916,4.6,7.2,10.42982107,3.0,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,586.0,0,0,3,0,1,0,5.261340206,0.0
