Year of Project,Functional Size,Adjusted Function Points,Value Adjustment Factor,Normalised Work Effort Level 1,Normalised Work Effort,Summary Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Pre 2002 PDR (afp),Defect Density,Speed of Delivery,Project Elapsed Time,Effort Unphased,Total Defects Delivered,Resource Level,Max Team Size,Input count,Added count,Count_Approach_COSMIC,Count_Approach_IFPUG,Count_Approach_NESMA,Count_Approach_OTHER,Development_Type_Enhancement,Development_Type_New Development,Development_Type_Re-development,Architecture_Client server,Architecture_Multi-tier,Architecture_Stand alone,Functional_Size_Technique_Other,Functional_Size_Technique_Supported by a tool,Functional_Size_Technique_Wholly manual,FP_Standard_All_COSMIC,FP_Standard_All_IFPUG,FP_Standard_All_Other,FP_Standard_All_COSMIC.1,FP_Standard_All_IFPUG.1,FP_Standard_All_Other.1,Language_Type_1GL,Language_Type_3GL,Language_Type_4GL,Client_Server_Used,Development_Platform_MF,Development_Platform_MR,Development_Platform_Multi,Development_Platform_PC,Case_Tool_Used_Yes,How_Methodology_Acquired_Combined Developed/Purchased,How_Methodology_Acquired_Developed Inhouse,How_Methodology_Acquired_Traditional,Used_Methodology_Yes
123456789.0,237,254.0,1.021941545,1850.0,1850,1850,7.8,7.8,7.3,21.1,7.9,6.0,0.0,5,1,5.0,60.0,237.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
123456789.0,1502,1587.0,1.021941545,6020.0,7490,7490,4.0,5.0,4.7,8.0,53.6,4.0,6020.0,12,4,7.0,774.0,1502.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
123456789.0,83,83.0,1.021941545,855.0,855,855,10.3,10.3,10.3,24.1,10.42982107,4.5,855.0,2,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
123456789.0,243,250.0,1.03,2924.0,3249,2924,12.0,13.4,11.7,8.2,3.8,8.0,1242.0,2,1,8.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1
123456789.0,55,48.0,0.87,503.0,648,648,9.1,11.8,13.5,18.2,2.3,6.0,503.0,1,4,4.0,5.8,55.06,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
2004.0,25,25.0,1.021941545,118.0,118,118,4.7,4.7,4.7,0.0,10.42982107,1.0,118.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
1995.0,163,152.0,0.93,668.0,668,668,4.1,4.1,4.4,18.4,6.0,9.0,668.0,3,1,3.0,25.0,163.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
2004.0,166,166.0,1.021941545,946.0,946,946,5.7,5.7,5.7,54.2,10.42982107,3.0,946.0,9,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
2002.0,647,673.0,1.04,8459.0,8459,6006,13.1,13.1,8.9,9.3,3.4,9.0,0.0,6,1,21.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
2000.0,127,127.0,1.021941545,586.0,916,586,4.6,7.2,4.6,0.0,10.42982107,3.0,586.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
2004.0,191,191.0,1.021941545,571.0,737,737,3.0,3.9,3.9,0.0,19.1,2.0,0.0,0,4,5.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
1994.0,292,303.0,1.04,5316.463277000001,3570,3570,15.99293785,12.2,11.8,24.0,8.1,12.0,2853.3091719999998,7,2,3.0,67.86,297.24,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
1993.0,4167,3625.0,0.87,4787.0,11934,11934,1.1,2.9,3.3,3.1,24.5,17.0,0.0,13,4,10.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
2004.0,304,304.0,1.021941545,5377.0,5377,5377,17.7,17.7,17.7,36.2,3.8,10.0,5377.0,11,1,8.0,59.0,81.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
