Functional Size,Adjusted Function Points,Normalised Work Effort,Summary Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Pre 2002 PDR (afp),Speed of Delivery,Project Elapsed Time,Effort Unphased,Resource Level,Max Team Size,Input count,Added count,Count_Approach_COSMIC,Count_Approach_IFPUG,Count_Approach_NESMA,Count_Approach_OTHER,Development_Type_Enhancement,Development_Type_New Development,Development_Type_Re-development,Architecture_Client server,Architecture_Multi-tier,Architecture_Stand alone,Functional_Size_Technique_Other,Functional_Size_Technique_Supported by a tool,Functional_Size_Technique_Wholly manual,FP_Standard_All_COSMIC,FP_Standard_All_IFPUG,FP_Standard_All_Other,Language_Type_1GL,Language_Type_3GL,Language_Type_4GL,Client_Server_Used,Development_Platform_MF,Development_Platform_MR,Development_Platform_Multi,Development_Platform_PC,Case_Tool_Used_Yes,How_Methodology_Acquired_Combined Developed/Purchased,How_Methodology_Acquired_Developed Inhouse,How_Methodology_Acquired_Traditional,Used_Methodology_Yes,Normalised Work Effort Level 1,Value Adjustment Factor,Defect Density
237,254,1850,1850,7.8,7.8,7.3,7.9,6,0,1,5,60,237,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1850,1.021941545,21.1
1502,1587,7490,7490,4,5,4.7,53.6,4,6020,4,7,774,1502,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,6020,1.021941545,8
83,83,855,855,10.3,10.3,10.3,10.42982107,4.5,855,1,9.761262136,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,855,1.021941545,24.1
243,250,3249,2924,12,13.4,11.7,3.8,8,1242,1,8,166.04545,341.2215103,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,2924,1.03,8.2
55,48,648,648,9.1,11.8,13.5,2.3,6,503,4,4,5.8,55.06,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,503,0.87,18.2
25,25,118,118,4.7,4.7,4.7,10.42982107,1,118,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,118,1.021941545,0
163,152,668,668,4.1,4.1,4.4,6,9,668,1,3,25,163,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,668,0.93,18.4
166,166,946,946,5.7,5.7,5.7,10.42982107,3,946,1,9.761262136,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,946,1.021941545,54.2
647,673,8459,6006,13.1,13.1,8.9,3.4,9,0,1,21,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,8459,1.04,9.3
127,127,916,586,4.6,7.2,4.6,10.42982107,3,586,1,9.761262136,166.04545,341.2215103,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,586,1.021941545,0
191,191,737,737,3,3.9,3.9,19.1,2,0,4,5,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,571,1.021941545,0
292,303,3570,3570,15.99293785,12.2,11.8,8.1,12,2853.309172,2,3,67.86,297.24,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,5316.463277,1.04,24
4167,3625,11934,11934,1.1,2.9,3.3,24.5,17,0,4,10,166.04545,341.2215103,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,4787,0.87,3.1
304,304,5377,5377,17.7,17.7,17.7,3.8,10,5377,1,8,59,81,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,5377,1.021941545,36.2
132,132,1485,1485,11.3,11.3,11.3,3.7,12,1485,1,3,57,95,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1485,1,15.2
811,811,1681,1076,1.3,2.1,1.3,10.42982107,2,1076,1,9.761262136,166.04545,341.2215103,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1076,1.021941545,2.5
42,29,932,932,15.99293785,22.2,32.1,10.42982107,8.957260274,2853.309172,4,4,0,42,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,5316.463277,0.7,47.6
28,28,686,686,24.5,24.5,24.5,1.8,4,92,1,4,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,686,1,142.9
62,76,2049,1680,33,33,22.1,10.42982107,8.957260274,0,1,2,29,62,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,2049,1.23,0
249,249,2204,2204,8.9,8.9,8.9,1.8,15,2204,1,9,156,249,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,2204,1,0
55,55,740,740,12.3,13.5,13.5,5.5,5,0,4,2,55,55,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,675,1.021941545,72.7
171,171,4342,2779,16.3,25.4,16.3,10.42982107,4,2779,1,9.761262136,166.04545,341.2215103,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,2779,1.021941545,5.8
387,387,1235,1235,3.2,3.2,3.2,19.4,5,35,1,4,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1235,1,28.4
11,11,40,40,3.6,3.6,3.6,11,0.5,40,1,2,166.04545,11,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,40,1.021941545,0
263,263,911,911,3.5,3.5,3.5,8.8,3,911,1,10,65,176,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,911,1.021941545,0
202,190,1171,1171,5.8,5.8,6.2,4,10,1171,1,5,98,160,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1171,0.94,34.7
272,294,1248,1248,15.99293785,4.6,4.2,10.42982107,7,2853.309172,4,9.761262136,42,272,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,5316.463277,1.08,99.3
474,474,1644,1644,3.5,3.5,3.5,13.5,7,50,1,5,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1644,1,4.2
149,142,193,174,1.2,1.3,1.2,12.4,2,119,1,6,166.04545,341.2215103,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,174,0.95,0
4,4,24,24,6,6,6,4,0.5,24,1,2,166.04545,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,24,1.021941545,0
399,395,5900,5900,14.8,14.8,14.9,5.7,14,0,1,5,94,399,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,5900,0.99,32.6
228,228,2877,2877,12.6,12.6,12.6,6.3,4,2877,1,9,77,228,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,2877,1.021941545,4.4
455,455,10670,10670,23.5,23.5,23.5,3.8,20,180,1,6,166.04545,341.2215103,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,10670,1,164.8
199,199,3746,3746,18.8,18.8,18.8,3.2,9,3746,1,7,68,171,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,3746,1,15.1
58,58,278,278,4.8,4.8,4.8,10.42982107,2,278,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,278,1.021941545,51.7
270,270,3430,3430,12.7,12.7,12.7,5.4,10,3430,1,5,114,270,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,3430,1.021941545,3.7
161,161,1146,1146,7.1,7.1,7.1,8.1,5,1146,1,4,88,18,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1146,1,31.1
100,100,552,552,4.9,5.5,5.5,11.8,1.7,2853.309172,4,5,166.04545,341.2215103,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,486,1.021941545,0
53,46,344,344,6.5,6.5,7.5,10.42982107,6,344,1,9.761262136,0,28,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,344,0.87,0
55,55,1606,1028,18.7,29.2,18.7,10.42982107,1,1028,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1028,1.021941545,0
733,733,4544,4544,6.2,6.2,6.2,11.3,13,4544,1,5,341,733,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,4544,1,0
82,82,410,410,5,5,5,10.42982107,3,410,1,9.761262136,166.04545,341.2215103,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,410,1.021941545,12.2
244,244,191,191,15.99293785,0.8,0.8,34.9,7,2853.309172,4,1,68,244,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,5316.463277,1,16.4
446,357,1746,1746,3.9,3.9,4.9,10.42982107,15,1746,1,9.761262136,114,446,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1746,0.8,0
