Functional Size,Adjusted Function Points,Value Adjustment Factor,Normalised Work Effort Level 1,Normalised Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Speed of Delivery,Project Elapsed Time,Effort Plan,Effort Specify,Effort Design,Effort Build,Effort Test,Effort Implement,Effort Unphased,Development Type,Client Server?,Development Platform,Language Type,CASE Tool Used,How Methodology Acquired,Average Team Size,Defect Density
237,254,1.021941545,1850,1850,7.8,7.8,7.9,6,100,400,621.5263158,1000,200,150,0,1,0,1,2,0,0,5,21.1
1502,1587,1.021941545,6020,7490,4,5,53.6,4,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,6020,1,1,3,2,0,1,5.261340206,8
83,83,1.021941545,855,855,10.3,10.3,10.42982107,4.5,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,855,1,1,2,2,1,2,5.261340206,24.1
243,250,1.03,2924,3249,12,13.4,3.8,8,608.9672897,961.5682819,621.5263158,3261.750943,1682,372.0342857,1242,1,1,0,1,1,1,3,8.2
55,48,0.87,503,648,9.1,11.8,2.3,6,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,503,1,0,0,0,1,0,5.261340206,18.2
25,25,1.021941545,118,118,4.7,4.7,10.42982107,1,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,118,0,1,2,1,1,2,5.261340206,0
163,152,0.93,668,668,4.1,4.1,6,9,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,668,1,0,0,1,1,1,5.261340206,18.4
166,166,1.021941545,946,946,5.7,5.7,10.42982107,3,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,946,1,1,2,1,1,2,5.261340206,54.2
647,673,1.04,8459,8459,13.1,13.1,3.4,9,608.9672897,961.5682819,1312,4694,1171.996516,372.0342857,0,0,0,1,1,1,1,18,9.3
127,127,1.021941545,586,916,4.6,7.2,10.42982107,3,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,586,0,0,3,0,1,0,5.261340206,0
191,191,1.021941545,571,737,3,3.9,19.1,2,0,0,73,256,236,6,0,1,1,3,2,1,0,5.261340206,0
292,303,1.04,5316.463277,3570,15.99293785,12.2,8.1,12,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2853.309172,1,0,3,2,1,1,5.261340206,24
4167,3625,0.87,4787,11934,1.1,2.9,24.5,17,601,715,621.5263158,1731,677,1063,0,1,1,0,2,1,1,5.261340206,3.1
304,304,1.021941545,5377,5377,17.7,17.7,3.8,10,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,5377,0,0,0,1,0,0,3,36.2
132,132,1,1485,1485,11.3,11.3,3.7,12,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1485,0,1,2,1,1,0,5.261340206,15.2
811,811,1.021941545,1076,1681,1.3,2.1,10.42982107,2,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,1076,0,0,0,1,1,0,5.261340206,2.5
42,29,0.7,5316.463277,932,15.99293785,22.2,10.42982107,8.957260274,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2853.309172,1,1,0,1,1,1,3.2,47.6
28,28,1,686,686,24.5,24.5,1.8,4,209,22,621.5263158,315,48,372.0342857,92,1,1,1,1,1,0,5.261340206,142.9
62,76,1.23,2049,2049,33,33,10.42982107,8.957260274,300,400,621.5263158,556,1171.996516,424,0,0,0,3,2,1,0,2,0
249,249,1,2204,2204,8.9,8.9,1.8,15,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2204,0,1,2,2,1,0,5.261340206,0
55,55,1.021941545,675,740,12.3,13.5,5.5,5,15,80,85,420,45,30,0,2,1,2,2,1,0,1.3,72.7
171,171,1.021941545,2779,4342,16.3,25.4,10.42982107,4,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,2779,0,0,0,1,1,0,5.261340206,5.8
387,387,1,1235,1235,3.2,3.2,19.4,5,608.9672897,961.5682819,621.5263158,902,298,372.0342857,35,0,1,1,0,1,0,5.261340206,28.4
11,11,1.021941545,40,40,3.6,3.6,11,0.5,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,40,0,1,0,1,1,0,5.261340206,0
263,263,1.021941545,911,911,3.5,3.5,8.8,3,608.9672897,961.5682819,621.5263158,3261.750943,1171.996516,372.0342857,911,0,1,2,1,0,0,5.261340206,0
